,Unnamed: 0,country,designation,points,price,province,variety,winery,rating,price_bin,rating_n,price_bin_n,wine_type
316,115954,Portugal,Adamado,85,9,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Lima,medium,medium,2,2,white
317,115964,Portugal,Fonte,85,8,Vinho Verde,Portuguese White,Aveleda,medium,low,2,1,white
320,116245,Portugal,Casal Garcia,84,8,Vinho Verde,Portuguese White,Aveleda,medium,low,2,1,white
321,116328,Portugal,Tinto,83,5,Vinho Verde,Portuguese Red,Campelo,low,low,1,1,red
322,116402,Portugal,Branco,83,5,Vinho Verde,Portuguese White,Campelo,low,low,1,1,white
324,118954,Portugal,Adamado,85,9,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Lima,medium,medium,2,2,white
325,118964,Portugal,Fonte,85,8,Vinho Verde,Portuguese White,Aveleda,medium,low,2,1,white
328,119845,Portugal,Casal Garcia,84,8,Vinho Verde,Portuguese White,Aveleda,medium,low,2,1,white
329,120078,Portugal,Tinto,83,5,Vinho Verde,Portuguese Red,Campelo,low,low,1,1,red
330,120212,Portugal,Casal Garcia,82,5,Vinho Verde,Portuguese White,Lagosta,low,low,1,1,white
331,120392,Portugal,Branco,83,5,Vinho Verde,Portuguese White,Campelo,low,low,1,1,white
356,136085,Portugal,Casal Garcia,91,13,Vinho Verde,Loureiro,Quinta do Ameal,high,high,0,0,white
334,123570,Portugal,Casal Garcia,89,10,Vinho Verde,Portuguese White,Casa do Valle,high,medium,0,2,white
335,123599,Portugal,Casal Garcia,89,12,Vinho Verde,Portuguese White,Solar de Pinheiro,high,medium,0,2,white
336,124822,Portugal,Clemen Reserva,88,12,Vinho Verde,Portuguese White,Wines & Winemakers,high,medium,0,2,white
337,124824,Portugal,Avesso,88,12,Vinho Verde,Portuguese White,Solar de Pinheiro,high,medium,0,2,white
338,124825,Portugal,Quinta de Simaens,88,13,Vinho Verde,Portuguese White,Borges,high,high,0,0,white
339,125988,Portugal,Azal,87,12,Vinho Verde,Portuguese White,Solar de Pinheiro,medium,medium,2,2,white
340,126598,Portugal,AT,86,9,Vinho Verde,Portuguese White,Borges,medium,medium,2,2,white
341,126898,Portugal,Santola,86,7,Vinho Verde,Portuguese White,Messias,medium,low,2,1,white
342,127820,Portugal,Rei do Minho,85,9,Vinho Verde,Portuguese White,Vinicola do Norte,medium,medium,2,2,white
344,128333,Portugal,Aliança,85,7,Vinho Verde,Portuguese White,Caves Aliança,medium,low,2,1,white
345,128615,Portugal,Azul Portugal Escolha,85,11,Vinho Verde,Portuguese White,Wines & Winemakers,medium,medium,2,2,white
346,132828,Portugal,Portal do Fidalgo,90,16,Vinho Verde,Alvarinho,Provam,high,high,0,0,white
347,132829,Portugal,Varanda do Conde,90,12,Vinho Verde,Portuguese White,Provam,high,medium,0,2,white
348,134052,Portugal,Casal Garcia,88,8,Vinho Verde,Portuguese White,Casa de Vila Verde,high,low,0,1,white
349,134083,Portugal,Casal Garcia,86,12,Vinho Verde,Portuguese White,Aveleda,medium,medium,2,2,white
350,134559,Portugal,Pena de Pato,88,11,Vinho Verde,Portuguese White,Sogrape,high,medium,0,2,white
351,134917,Portugal,Clemen Reserva,88,13,Vinho Verde,Portuguese White,Touquinheiras,high,high,0,0,white
368,136709,Portugal,Casal Garcia,89,13,Vinho Verde,Alvarinho,Quinta da Pedra,high,high,0,0,white
353,135647,Portugal,Portal do Fidalgo,91,9,Vinho Verde,Alvarinho,Provam,high,medium,0,2,white
355,136080,Portugal,Muros Antigos,91,16,Vinho Verde,Alvarinho,Anselmo Mendes,high,high,0,0,white
376,137555,Portugal,Casal Garcia,88,15,Vinho Verde,Alvarinho,Quinta do Reguengo de Melgaco,high,high,0,0,white
358,136254,Portugal,Colheita Seleccionada,90,9,Vinho Verde,Loureiro,Adega Cooperativa Ponte de Lima,high,medium,0,2,white
359,136256,Portugal,Quinta da Aveleda,90,9,Vinho Verde,Portuguese White,Aveleda,high,medium,0,2,white
360,136350,Portugal,Quinta de Simaens,87,12,Vinho Verde,Portuguese White,Borges,medium,medium,2,2,white
361,136387,Portugal,Alvarinho Deu la Deu,90,16,Vinho Verde,Alvarinho,Adega de Monção,high,high,0,0,white
362,136388,Portugal,Casal Garcia,90,11,Vinho Verde,Alvarinho,Aveleda,high,medium,0,2,white
363,136400,Portugal,Alvarinho Portal do Fidalgo,90,15,Vinho Verde,Alvarinho,Provam,high,high,0,0,white
364,136533,Portugal,Grande Escolha,90,9,Vinho Verde,Portuguese White,Casa do Valle,high,medium,0,2,white
365,136689,Portugal,Casal Garcia,89,15,Vinho Verde,Alvarinho,Borges,high,high,0,0,white
366,136700,Portugal,Varanda do Conde,89,10,Vinho Verde,Portuguese White,Provam,high,medium,0,2,white
11,2947,Portugal,Dom Diogo,87,13,Vinho Verde,Arinto,Quinta da Raza,medium,high,2,2,white
369,136987,Portugal,Muralhas de Monção,89,11,Vinho Verde,Portuguese White,Adega de Monção,high,medium,0,2,white
370,136988,Portugal,Casal Garcia,89,8,Vinho Verde,Portuguese White,Aveleda,high,low,0,1,white
371,136993,Portugal,Grande Escolha,89,8,Vinho Verde,Portuguese White,Casa de Sezim,high,low,0,1,white
372,136996,Portugal,Morgadio da Torre,89,12,Vinho Verde,Alvarinho,Sogrape,high,medium,0,2,white
373,137067,Portugal,Twin Vines,85,9,Vinho Verde,Portuguese White,José Maria da Fonseca,medium,medium,2,2,white
374,137297,Portugal,Grinalda,88,9,Vinho Verde,Portuguese White,Aveleda,high,medium,0,2,white
375,137442,Portugal,Varanda do Conde,90,9,Vinho Verde,Portuguese White,Provam,high,medium,0,2,white
195,72095,Portugal,Dom Diogo Colheita Seleccionada,87,9,Vinho Verde,Arinto,Quinta da Raza,medium,medium,2,2,white
377,137681,Portugal,Santola,84,6,Vinho Verde,Portuguese White,Messias,medium,low,2,1,white
378,138172,Portugal,Casal Garcia,86,10,Vinho Verde,Portuguese White,Casa de Vila Verde,medium,medium,2,2,white
379,138241,Portugal,Casal Garcia,83,8,Vinho Verde,Portuguese White,Caves Aliança,low,low,1,1,white
380,138437,Portugal,Danaide Branco,87,9,Vinho Verde,Portuguese White,Adega de Monção,medium,medium,2,2,white
381,139372,Portugal,Famega White,85,8,Vinho Verde,Portuguese White,Caves da Cerca,medium,low,2,1,white
382,139661,Portugal,Casal Garcia,85,9,Vinho Verde,Portuguese White,Broadbent,medium,medium,2,2,white
383,139675,Portugal,Twin Vines,85,9,Vinho Verde,Portuguese White,José Maria da Fonseca,medium,medium,2,2,white
384,139930,Portugal,Famega,85,7,Vinho Verde,Portuguese White,Caves da Cerca,medium,low,2,1,white
385,140221,Portugal,Lagosta,85,7,Vinho Verde,Portuguese White,Caves Dom Teodosio,medium,low,2,1,white
386,140222,Portugal,Casal Garcia,85,12,Vinho Verde,Alvarinho,Casa de Vila Verde,medium,medium,2,2,white
387,140230,Portugal,Adamado,84,9,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Lima,medium,medium,2,2,white
388,140272,Portugal,Gatão,84,7,Vinho Verde,Portuguese White,Borges,medium,low,2,1,white
389,140543,Portugal,Sezim,84,7,Vinho Verde,Portuguese White,Casa de Sezim,medium,low,2,1,white
390,140821,Portugal,Gazela,84,6,Vinho Verde,Portuguese White,Sogrape,medium,low,2,1,white
391,141129,Portugal,Casal Garcia,83,9,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Lima,low,medium,1,2,white
392,141143,Portugal,Casal Garcia,82,8,Vinho Verde,Portuguese White,Casa de Vila Verde,low,low,1,1,white
393,141148,Portugal,Gatão,82,6,Vinho Verde,Portuguese White,Borges,low,low,1,1,white
394,143472,Portugal,Casal Garcia,86,9,Vinho Verde,White Blend,Casa de Vila Verde,medium,medium,2,2,white
395,143575,Portugal,Casal Garcia,87,15,Vinho Verde,Alvarinho,Portal do Fidalgo,medium,high,2,0,white
