,ASIN,seller,seller_link,ratings,best_sellers_rank,link_to_all_reviews
1081,B01MS65CT8,,,4.8 out of 5 stars,#11 in Headphone Earpads,/Bose-Cushion-QuietComfort-Headphones-Pair/product-reviews/B01MS65CT8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1082,,,,,,
1083,B00004SY4H,,,4.8 out of 5 stars,#648 in Over-Ear Headphones,/Sennheiser-Open-Back-Professional-Headphone/product-reviews/B00004SY4H/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1084,B08LYFTJ6L,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.7 out of 5 stars,#83 in Headphone Stands & Hangers,
1085,B07VQRP8S6,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.4 out of 5 stars,#718 in Over-Ear Headphones,https://www.amazon.com/Glowing-Unicorn-Headphones-Girls-Toddler/product-reviews/B07VQRP8S6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1086,B00I3LUY68,,,4.4 out of 5 stars,"#1,033 in On-Ear Headphones #1,783 in Over-Ear Headphones",/Sony-Foldable-Headphones-MDR-ZX310-Metallic/product-reviews/B00I3LUY68/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1087,B08B8XVBM6,,,4.1 out of 5 stars,#299 in Over-Ear Headphones,/Jabra-Evolve2-Wireless-Headphones-Link380a/product-reviews/B08B8XVBM6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1088,B0896SN9DX,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,3.8 out of 5 stars,"#1,997 in Earbud & In-Ear Headphones",
1089,B081DM6GQD,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.5 out of 5 stars,#95 in Video Games ( See Top 100 in Video Games ) #5 in PC Game Headsets #5 in Xbox Accessories,https://www.amazon.com/Mpow-Headset-Surround-Universal-Headphones/product-reviews/B081DM6GQD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1090,B08KTC4R98,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,3.8 out of 5 stars,#263 in Headphone Adapters,
1091,B08D3G8F3J,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,3.7 out of 5 stars,#206 in Headphone Adapters,
1092,B07P6RRPBF,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.0 out of 5 stars,#529 in On-Ear Headphones #887 in Over-Ear Headphones,https://www.amazon.com/eKids-FR-143v9M-Fr-143V9M/product-reviews/B07P6RRPBF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1093,B08K2YNNF2,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.0 out of 5 stars,#101 in Computer Headsets,
1094,B087R2SGT1,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.6 out of 5 stars,#18 in Headphone Adapters,
1095,B081ZRQFVD,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,,,https://www.amazon.com/Mr-Rex-Replacement-Compatible-QuietComfort/product-reviews/B081ZRQFVD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1096,B085GDY2G7,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.2 out of 5 stars,#119 in Earbud & In-Ear Headphones,
1097,B0156WW26G,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.4 out of 5 stars,#261 in On-Ear Headphones #496 in Over-Ear Headphones,
1098,B089KS9F1T,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.1 out of 5 stars,#37 in Computer Headsets,
1099,B01MTV9A8E,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.4 out of 5 stars,"#858 in On-Ear Headphones #1,469 in Over-Ear Headphones",https://www.amazon.com/JBL-JBLE35BLK-Signature-Headphones-Black/product-reviews/B01MTV9A8E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1100,B08VD4VS38,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.8 out of 5 stars,#365 in Earbud & In-Ear Headphones,https://www.amazon.com/Wireless-Bluetooth-Headphones-Charging-Waterproof/product-reviews/B08VD4VS38/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1101,B08G4P1QM6,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.5 out of 5 stars,#66 in Headphone Stands & Hangers,https://www.amazon.com/Headphone-Adjustable-Headset-Offices-Desktop/product-reviews/B08G4P1QM6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1102,B08H239S2X,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,3.7 out of 5 stars,#13 in Headphone Adapters,
1103,,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,,#857 in Headphone Adapters,
1104,B08VJDY27M,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,5.0 out of 5 stars,#664 in On-Ear Headphones,
1105,B08RYLQ63W,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.2 out of 5 stars,"#1,230 in Earbud & In-Ear Headphones",
1106,B07RWW99VH,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.2 out of 5 stars,#768 in Earbud & In-Ear Headphones,https://www.amazon.com/Belkin-Lightning-Headphones-Control-Earphones/product-reviews/B07RWW99VH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1107,B07L1RQDJM,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.2 out of 5 stars,#161 in Earbud & In-Ear Headphones,https://www.amazon.com/earphone-Stereo-Earbud-Headphones-Colors/product-reviews/B07L1RQDJM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1108,B08XV1QKH1,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.3 out of 5 stars,#60 in Earbud & In-Ear Headphones,https://www.amazon.com/Earbuds-Headphones-Ear-Built-Microphone/product-reviews/B08XV1QKH1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1109,B08SC4LWG9,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.1 out of 5 stars,"#2,615 in Earbud & In-Ear Headphones",https://www.amazon.com/Wireless-Bluetooth-Headphone-Waterproof-Earphones/product-reviews/B08SC4LWG9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1110,B08LB9SB2L,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.3 out of 5 stars,"#6,653 in Video Games ( See Top 100 in Video Games ) #23 in PlayStation 5 Headsets #101 in Xbox Series X & S Accessories #199 in PlayStation 4 Headsets",https://www.amazon.com/CM7000-Authentic-Surround-Headphones-Canceling/product-reviews/B08LB9SB2L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1111,B0719R8L6S,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.6 out of 5 stars,#11 in Headphone Stands & Hangers,https://www.amazon.com/Headphone-Charger-Headset-Charging-Earphone/product-reviews/B0719R8L6S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1112,B07WT7TYWY,,,4.7 out of 5 stars,"#5,220 in Electronics ( See Top 100 in Electronics ) #21 in Audio Component Amplifiers",/FiiO-K5-AK4493EQ-Amplifier-Headphone/product-reviews/B07WT7TYWY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1113,B010NIABJ8,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.3 out of 5 stars,"#1,015 in On-Ear Headphones",https://www.amazon.com/Bluetooth-Headphones-Foldable-Limiting-Microphone/product-reviews/B010NIABJ8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1114,B08CXYBH5L,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.5 out of 5 stars,"#2,552 in Over-Ear Headphones",https://www.amazon.com/PowerLocus-Bluetooth-Headphones-Wireless-Assistant/product-reviews/B08CXYBH5L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1115,B00DCEOZDE,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.6 out of 5 stars,"#1,808 in Earbud & In-Ear Headphones",https://www.amazon.com/JVC-HAF14P-Gumy-Earbud-Headphones/product-reviews/B00DCEOZDE/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1116,B074W5BKPH,,,4.5 out of 5 stars,"#1,158 in Over-Ear Headphones",/Sony-Cancelling-Wireless-Headphone-Grayish/product-reviews/B074W5BKPH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1117,B08B8XVBM6,,,4.1 out of 5 stars,#299 in Over-Ear Headphones,/Jabra-Evolve2-Wireless-Headphones-Link380a/product-reviews/B08B8XVBM6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1118,B07H1RPYFN,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,3.6 out of 5 stars,"#1,080 in Earbud & In-Ear Headphones",
1119,B08GQ37HJR,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.4 out of 5 stars,#692 in Headphone Adapters,
1120,B07YD2XPF3,,,4.3 out of 5 stars,#545 in On-Ear Headphones,/adidas-RPT-01-Bluetooth-Sport-Headphones/product-reviews/B07YD2XPF3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1121,B0814RZZ2J,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.4 out of 5 stars,"#352 in Video Games ( See Top 100 in Video Games ) #3 in Sega Genesis Games, Consoles & Accessories #21 in PlayStation 4 Headsets",https://www.amazon.com/ONIKUMA-Canceling-Headphones-One%EF%BC%88Adapter-Included%EF%BC%89/product-reviews/B0814RZZ2J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1122,B07BV5TW9P,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.3 out of 5 stars,"#8,629 in Audio Headphones",
1123,,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,,"#4,017 in Over-Ear Headphones",
1124,B08QMW2KJC,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.1 out of 5 stars,"#1,230 in Over-Ear Headphones",
1125,B07SL6RTYR,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.5 out of 5 stars,#283 in Headphone Adapters,https://www.amazon.com/Headphone-Splitter-Connector-Earphone-Compatible/product-reviews/B07SL6RTYR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1126,B07TF6YKHV,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.5 out of 5 stars,#103 in Headphone Stands & Hangers,
1127,B07Y65SPZR,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.6 out of 5 stars,#282 in Headphone Adapters,https://www.amazon.com/Headphone-Splitter-Shielded-Adapter-Crystal-Nylon/product-reviews/B07Y65SPZR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1128,B08DJ34QQ2,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.8 out of 5 stars,#50 in Over-Ear Headphones,
1129,B076HF66QN,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.4 out of 5 stars,#670 in On-Ear Headphones,https://www.amazon.com/LilGadgets-Connect-Headphones-SharePort-Children/product-reviews/B076HF66QN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1130,B017TSSAZM,,,4.3 out of 5 stars,#565 in On-Ear Headphones,/Sony-MDRXB950B1-Extra-Bluetooth-Headphones/product-reviews/B017TSSAZM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1131,B085RLPPS4,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.2 out of 5 stars,#325 in Earbud & In-Ear Headphones,
1132,B082HNJNX1,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.0 out of 5 stars,#314 in Headphone Adapters,
1133,B08PKJKJF2,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,3.8 out of 5 stars,#945 in On-Ear Headphones,
1134,B07X2RLPC8,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.7 out of 5 stars,#280 in Headphone Earpads,
1135,B08FC88V49,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.3 out of 5 stars,"#1,390 in Over-Ear Headphones",https://www.amazon.com/Esonstyle-Headphones-Headsets-Jack-Cat-Inspired-Mircophone/product-reviews/B08FC88V49/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1136,B08Y6FK8RC,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,3.9 out of 5 stars,#373 in Headphone Adapters,
1137,B089Y3XMYY,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.3 out of 5 stars,#180 in Headphone Stands & Hangers,
1138,B07L1RQDJM,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.2 out of 5 stars,#161 in Earbud & In-Ear Headphones,https://www.amazon.com/earphone-Stereo-Earbud-Headphones-Colors/product-reviews/B07L1RQDJM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1139,B00MR8Z28S,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.2 out of 5 stars,#364 in On-Ear Headphones #628 in Over-Ear Headphones,https://www.amazon.com/Jabra-Move-Wireless-Stereo-Headphones/product-reviews/B00MR8Z28S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1140,B07PVR6SXW,,,4.5 out of 5 stars,#607 in Over-Ear Headphones,/JBL-Around-Ear-Wireless-Headphone-Cancellation/product-reviews/B07PVR6SXW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1141,B08F3LC84L,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,,,
1142,B01MSZSL4I,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.3 out of 5 stars,#543 in Over-Ear Headphones,https://www.amazon.com/Sennheiser-HD-4-50-Headphones-Cancellation/product-reviews/B01MSZSL4I/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1143,B08ZMMG383,,,2.0 out of 5 stars,"#1,191 in Headphone Adapters",
1144,B07RMDK96D,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.2 out of 5 stars,"#4,540 in Over-Ear Headphones",https://www.amazon.com/Cancelling-Headphones-dyplay-Bluetooth-Comfortable/product-reviews/B07RMDK96D/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1145,B08K95FTZ8,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.1 out of 5 stars,#10 in Headphone Adapters,
1146,B01BDX1IVW,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.4 out of 5 stars,#218 in Over-Ear Headphones,https://www.amazon.com/Status-Audio-Closed-Monitor-Headphones/product-reviews/B01BDX1IVW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1147,B08B8XVBM6,,,4.1 out of 5 stars,#299 in Over-Ear Headphones,/Jabra-Evolve2-Wireless-Headphones-Link380a/product-reviews/B08B8XVBM6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1148,B07L1RQDJM,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.2 out of 5 stars,#161 in Earbud & In-Ear Headphones,https://www.amazon.com/earphone-Stereo-Earbud-Headphones-Colors/product-reviews/B07L1RQDJM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1149,B082VKW3W7,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,3.9 out of 5 stars,#739 in Earbud & In-Ear Headphones,https://www.amazon.com/MUNSKT-Headphones-Earphone-Microphone-Mobile/product-reviews/B082VKW3W7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1150,B00J2E50D2,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.6 out of 5 stars,"#1,063 in HDMI Cables",
1151,,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,,"#5,400 in Earbud & In-Ear Headphones",
1152,B08T84VWY7,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.4 out of 5 stars,#501 in Earbud & In-Ear Headphones,https://www.amazon.com/Podswireless-Bluetooth-Headphones-Canceling-Earphones/product-reviews/B08T84VWY7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1153,B08DJ34QQ2,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.8 out of 5 stars,#50 in Over-Ear Headphones,
1154,B08834N3FV,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,3.8 out of 5 stars,"#1,577 in Earbud & In-Ear Headphones",
1155,B07R4BY11W,,,4.5 out of 5 stars,#252 in On-Ear Headphones #478 in Over-Ear Headphones,/JLab-Headphones-Ultra-Plush-Cushions-Neodymium/product-reviews/B07R4BY11W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1156,B00503KPYS,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.4 out of 5 stars,#387 in On-Ear Headphones #661 in Over-Ear Headphones,
1157,B08GM5XDM7,,,4.2 out of 5 stars,"#2,141 in Earbud & In-Ear Headphones",/Realm-Lightning-Headphones-Microphone-Hands-Free/product-reviews/B08GM5XDM7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1158,B086TVX29Q,,,4.0 out of 5 stars,"#8,465 in Earbud & In-Ear Headphones",
1159,B07ZWTNTFV,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.7 out of 5 stars,#39 in Headphone Stands & Hangers,https://www.amazon.com/Headphone-APPHOME-Rotating-Universal-Headphones/product-reviews/B07ZWTNTFV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1160,B01BPFGMZK,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.6 out of 5 stars,#349 in On-Ear Headphones,https://www.amazon.com/Skullcandy-Bluetooth-Wireless-Headphones-Rechargeable/product-reviews/B01BPFGMZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1161,B08G1SNFFV,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.1 out of 5 stars,#85 in Computer Headsets,https://www.amazon.com/Soulsens-Computer-Microphone-Headphones-Canceling/product-reviews/B08G1SNFFV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1162,B08PNTY6RV,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.0 out of 5 stars,#582 in Headphone Adapters,
1163,B07H1RPYFN,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,3.6 out of 5 stars,"#1,080 in Earbud & In-Ear Headphones",
1164,B08XBGY429,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.5 out of 5 stars,"#27,782 in Video Games ( See Top 100 in Video Games ) #279 in Xbox Accessories #425 in PlayStation 4 Headsets",https://www.amazon.com/Mpow-Surround-Microphone-Cancelling-Headphones/product-reviews/B08XBGY429/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1165,B08ZD63HC4,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.6 out of 5 stars,#631 in Headphone Adapters,https://www.amazon.com/USB-3-5mm-Headphone-Adapter-Compatible/product-reviews/B08ZD63HC4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1166,B01E4H4MWQ,,,4.3 out of 5 stars,"#2,202 in Over-Ear Headphones",/Sony-MDR-ZX110AP-Headphones-Smartphone-Microphone/product-reviews/B01E4H4MWQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1167,B08CRHBK17,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,4.4 out of 5 stars,"#1,391 in Over-Ear Headphones",
