,Unnamed: 0,country,designation,points,price,province,variety,winery,rating
329,120078,Portugal,Tinto,83,5,Vinho Verde,Portuguese Red,Campelo,1
330,120212,Portugal,Casal Garcia,82,5,Vinho Verde,Portuguese White,Lagosta,1
331,120392,Portugal,Branco,83,5,Vinho Verde,Portuguese White,Campelo,1
332,122012,Portugal,Casal Garcia,90,15,Vinho Verde,Loureiro,Quinta do Ameal,0
334,123570,Portugal,Casal Garcia,89,10,Vinho Verde,Portuguese White,Casa do Valle,0
335,123599,Portugal,Casal Garcia,89,12,Vinho Verde,Portuguese White,Solar de Pinheiro,0
336,124822,Portugal,Clemen Reserva,88,12,Vinho Verde,Portuguese White,Wines & Winemakers,0
337,124824,Portugal,Avesso,88,12,Vinho Verde,Portuguese White,Solar de Pinheiro,0
338,124825,Portugal,Quinta de Simaens,88,13,Vinho Verde,Portuguese White,Borges,0
339,125988,Portugal,Azal,87,12,Vinho Verde,Portuguese White,Solar de Pinheiro,2
340,126598,Portugal,AT,86,9,Vinho Verde,Portuguese White,Borges,2
341,126898,Portugal,Santola,86,7,Vinho Verde,Portuguese White,Messias,2
342,127820,Portugal,Rei do Minho,85,9,Vinho Verde,Portuguese White,Vinicola do Norte,2
343,128059,Portugal,Casal Garcia,85,10,Vinho Verde,Rosé,Casa do Valle,2
344,128333,Portugal,Aliança,85,7,Vinho Verde,Portuguese White,Caves Aliança,2
345,128615,Portugal,Azul Portugal Escolha,85,11,Vinho Verde,Portuguese White,Wines & Winemakers,2
346,132828,Portugal,Portal do Fidalgo,90,16,Vinho Verde,Alvarinho,Provam,0
347,132829,Portugal,Varanda do Conde,90,12,Vinho Verde,Portuguese White,Provam,0
348,134052,Portugal,Casal Garcia,88,8,Vinho Verde,Portuguese White,Casa de Vila Verde,0
349,134083,Portugal,Casal Garcia,86,12,Vinho Verde,Portuguese White,Aveleda,2
350,134559,Portugal,Pena de Pato,88,11,Vinho Verde,Portuguese White,Sogrape,0
351,134917,Portugal,Clemen Reserva,88,13,Vinho Verde,Portuguese White,Touquinheiras,0
352,135187,Portugal,Arca Nova,88,9,Vinho Verde,Portuguese White,Quinta das Arcas,0
353,135647,Portugal,Portal do Fidalgo,91,9,Vinho Verde,Alvarinho,Provam,0
355,136080,Portugal,Muros Antigos,91,16,Vinho Verde,Alvarinho,Anselmo Mendes,0
356,136085,Portugal,Casal Garcia,91,13,Vinho Verde,Loureiro,Quinta do Ameal,0
358,136254,Portugal,Colheita Seleccionada,90,9,Vinho Verde,Loureiro,Adega Cooperativa Ponte de Lima,0
359,136256,Portugal,Quinta da Aveleda,90,9,Vinho Verde,Portuguese White,Aveleda,0
360,136350,Portugal,Quinta de Simaens,87,12,Vinho Verde,Portuguese White,Borges,2
361,136387,Portugal,Alvarinho Deu la Deu,90,16,Vinho Verde,Alvarinho,Adega de Monção,0
362,136388,Portugal,Casal Garcia,90,11,Vinho Verde,Alvarinho,Aveleda,0
363,136400,Portugal,Alvarinho Portal do Fidalgo,90,15,Vinho Verde,Alvarinho,Provam,0
364,136533,Portugal,Grande Escolha,90,9,Vinho Verde,Portuguese White,Casa do Valle,0
365,136689,Portugal,Casal Garcia,89,15,Vinho Verde,Alvarinho,Borges,0
366,136700,Portugal,Varanda do Conde,89,10,Vinho Verde,Portuguese White,Provam,0
368,136709,Portugal,Casal Garcia,89,13,Vinho Verde,Alvarinho,Quinta da Pedra,0
369,136987,Portugal,Muralhas de Monção,89,11,Vinho Verde,Portuguese White,Adega de Monção,0
370,136988,Portugal,Casal Garcia,89,8,Vinho Verde,Portuguese White,Aveleda,0
371,136993,Portugal,Grande Escolha,89,8,Vinho Verde,Portuguese White,Casa de Sezim,0
372,136996,Portugal,Morgadio da Torre,89,12,Vinho Verde,Alvarinho,Sogrape,0
373,137067,Portugal,Twin Vines,85,9,Vinho Verde,Portuguese White,José Maria da Fonseca,2
374,137297,Portugal,Grinalda,88,9,Vinho Verde,Portuguese White,Aveleda,0
375,137442,Portugal,Varanda do Conde,90,9,Vinho Verde,Portuguese White,Provam,0
376,137555,Portugal,Casal Garcia,88,15,Vinho Verde,Alvarinho,Quinta do Reguengo de Melgaco,0
377,137681,Portugal,Santola,84,6,Vinho Verde,Portuguese White,Messias,2
378,138172,Portugal,Casal Garcia,86,10,Vinho Verde,Portuguese White,Casa de Vila Verde,2
379,138241,Portugal,Casal Garcia,83,8,Vinho Verde,Portuguese White,Caves Aliança,1
380,138437,Portugal,Danaide Branco,87,9,Vinho Verde,Portuguese White,Adega de Monção,2
381,139372,Portugal,Famega White,85,8,Vinho Verde,Portuguese White,Caves da Cerca,2
382,139661,Portugal,Casal Garcia,85,9,Vinho Verde,Portuguese White,Broadbent,2
383,139675,Portugal,Twin Vines,85,9,Vinho Verde,Portuguese White,José Maria da Fonseca,2
384,139930,Portugal,Famega,85,7,Vinho Verde,Portuguese White,Caves da Cerca,2
385,140221,Portugal,Lagosta,85,7,Vinho Verde,Portuguese White,Caves Dom Teodosio,2
386,140222,Portugal,Casal Garcia,85,12,Vinho Verde,Alvarinho,Casa de Vila Verde,2
387,140230,Portugal,Adamado,84,9,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Lima,2
388,140272,Portugal,Gatão,84,7,Vinho Verde,Portuguese White,Borges,2
389,140543,Portugal,Sezim,84,7,Vinho Verde,Portuguese White,Casa de Sezim,2
390,140821,Portugal,Gazela,84,6,Vinho Verde,Portuguese White,Sogrape,2
391,141129,Portugal,Casal Garcia,83,9,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Lima,1
392,141143,Portugal,Casal Garcia,82,8,Vinho Verde,Portuguese White,Casa de Vila Verde,1
393,141148,Portugal,Gatão,82,6,Vinho Verde,Portuguese White,Borges,1
394,143472,Portugal,Casal Garcia,86,9,Vinho Verde,White Blend,Casa de Vila Verde,2
395,143575,Portugal,Casal Garcia,87,15,Vinho Verde,Alvarinho,Portal do Fidalgo,2
